KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,51840.0,0.5458429159755118,0.1385,0.1487,51250.0,54531.0,Pipistrellus pygmaeus,0.193,0.227,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
HF,60480.0,-0.262173853317284,0.2145,0.2299,55546.0,59909.0,Pipistrellus pygmaeus,0.203,0.21,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
HF,60480.0,-4.063664621041901,0.2515,0.2674,55546.0,59061.0,Pipistrellus pygmaeus,0.222,0.231,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
HF,51840.0,-4.298801525103887,1.0995,1.1155,51250.0,54690.0,Pipistrellus pygmaeus,0.231,0.262,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
LF,23040.0,1.9107224150675826,1.7725,1.7907,22890.0,26821.0,Nyctalus leisleri,0.153,0.234,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
HF,65280.0,1.0699074382785614,2.1745,2.1878,59843.0,65525.0,Pipistrellus pygmaeus,0.218,0.222,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
HF,60480.0,4.792300158709596,2.3585,2.37,55546.0,59710.0,Pipistrellus pygmaeus,0.212,0.224,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
HF,60480.0,-0.8183032147469466,3.5765,3.5843,54687.0,61794.0,Pipistrellus pygmaeus,0.284,0.29,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
LF,23040.0,7.380512974826894,3.6085,3.6211,22890.0,27028.0,Nyctalus leisleri,0.229,0.396,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
HF,60480.0,7.444724749066158,3.6095,3.6171,54687.0,59517.0,Pipistrellus pygmaeus,0.548,0.556,-1,Echolocation,192000.0,/mnt/ubna_data_05/recover-20250324/UBNA_029/20250317_163000.WAV,recover-20250324,UBNA_029,Telephone Field
