,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event
0,442.0725,442.0789,46953,58735,Pipistrellus pipistrellus,0.334,0.407,-1,Echolocation
1,442.2545,442.2587,45234,66112,Myotis alcathoe,0.196,0.384,-1,Echolocation
2,442.3455,442.351,46093,55171,Pipistrellus pipistrellus,0.348,0.387,-1,Echolocation
3,442.4385,442.4438,46093,55270,Pipistrellus pipistrellus,0.309,0.326,-1,Echolocation
4,442.5385,442.5444,46093,54161,Pipistrellus pipistrellus,0.512,0.54,-1,Echolocation
5,442.6655,442.671,46093,58001,Pipistrellus pipistrellus,0.423,0.531,-1,Echolocation
6,442.7455,442.7512,45234,55682,Pipistrellus pipistrellus,0.446,0.514,-1,Echolocation
7,442.8355,442.8398,40078,74639,Myotis alcathoe,0.314,0.391,-1,Echolocation
8,442.9265,442.9342,43515,49153,Pipistrellus pipistrellus,0.145,0.306,-1,Echolocation
9,443.0195,443.0246,44375,62365,Pipistrellus pipistrellus,0.304,0.398,-1,Echolocation
10,443.1185,443.1246,45234,49948,Pipistrellus pipistrellus,0.372,0.401,-1,Echolocation
11,443.2115,443.2167,45234,53030,Pipistrellus pipistrellus,0.371,0.395,-1,Echolocation
12,443.7955,443.8015,48671,59527,Pipistrellus pipistrellus,0.151,0.233,-1,Echolocation
13,490.3125,490.3199,40078,46667,Pipistrellus nathusii,0.497,0.552,-1,Echolocation
14,490.4185,490.4265,40078,46798,Pipistrellus nathusii,0.553,0.589,-1,Echolocation
15,490.5285,490.5372,40078,46392,Pipistrellus nathusii,0.421,0.497,-1,Echolocation
16,490.6455,490.6537,40078,45743,Pipistrellus nathusii,0.48,0.537,-1,Echolocation
17,490.7575,490.765,40078,47743,Pipistrellus nathusii,0.581,0.61,-1,Echolocation
18,490.8665,490.8746,40078,47151,Pipistrellus nathusii,0.571,0.61,-1,Echolocation
19,490.9765,490.9846,40078,47497,Pipistrellus nathusii,0.486,0.557,-1,Echolocation
20,491.0865,491.0948,40078,46759,Pipistrellus nathusii,0.424,0.545,-1,Echolocation
21,491.2045,491.2112,39218,45589,Pipistrellus nathusii,0.337,0.469,-1,Echolocation
22,491.3075,491.3141,39218,49457,Pipistrellus nathusii,0.251,0.381,-1,Echolocation
23,606.7745,606.7803,41796,56047,Pipistrellus nathusii,0.087,0.239,-1,Echolocation
