,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event
0,230.9755,230.9892,25468,29220,Nyctalus leisleri,0.084,0.168,-1,Echolocation
1,231.1385,231.1505,25468,30652,Nyctalus leisleri,0.072,0.15,-1,Echolocation
2,231.2775,231.2893,25468,30077,Nyctalus leisleri,0.388,0.596,-1,Echolocation
3,231.6515,231.6637,24609,29732,Nyctalus leisleri,0.311,0.592,-1,Echolocation
4,231.9315,231.9461,24609,29849,Nyctalus leisleri,0.356,0.538,-1,Echolocation
5,232.2085,232.2282,24609,29337,Nyctalus leisleri,0.293,0.45,-1,Echolocation
6,232.4015,232.4206,24609,29517,Nyctalus leisleri,0.306,0.531,-1,Echolocation
7,232.7135,232.7302,23750,28353,Nyctalus leisleri,0.412,0.562,-1,Echolocation
8,232.8825,232.8978,23750,28598,Nyctalus leisleri,0.298,0.482,-1,Echolocation
9,233.1445,233.1609,23750,29429,Nyctalus leisleri,0.374,0.62,-1,Echolocation
10,233.3015,233.3123,26328,35134,Eptesicus serotinus,0.348,0.636,-1,Echolocation
11,233.4735,233.4853,25468,33200,Eptesicus serotinus,0.316,0.567,-1,Echolocation
12,233.7245,233.7409,23750,27806,Nyctalus leisleri,0.487,0.626,-1,Echolocation
13,234.0035,234.0222,23750,26292,Nyctalus leisleri,0.42,0.478,-1,Echolocation
14,234.4245,234.4388,24609,28891,Nyctalus leisleri,0.392,0.528,-1,Echolocation
15,234.7155,234.7302,23750,27944,Nyctalus leisleri,0.585,0.679,-1,Echolocation
16,235.0115,235.0279,23750,28555,Nyctalus leisleri,0.468,0.599,-1,Echolocation
17,235.4245,235.4414,23750,28104,Nyctalus leisleri,0.391,0.535,-1,Echolocation
18,235.6915,235.7084,23750,27716,Nyctalus leisleri,0.532,0.602,-1,Echolocation
19,235.9745,235.9935,23750,28162,Nyctalus leisleri,0.379,0.482,-1,Echolocation
20,236.2545,236.269,23750,29735,Nyctalus leisleri,0.417,0.614,-1,Echolocation
21,236.5535,236.5683,24609,27786,Nyctalus leisleri,0.502,0.593,-1,Echolocation
22,236.8535,236.8701,24609,28820,Nyctalus leisleri,0.475,0.561,-1,Echolocation
23,237.1345,237.1534,23750,28175,Nyctalus leisleri,0.393,0.515,-1,Echolocation
24,237.5485,237.5673,23750,29368,Nyctalus leisleri,0.348,0.54,-1,Echolocation
25,237.8635,237.8786,24609,30497,Nyctalus leisleri,0.43,0.644,-1,Echolocation
26,238.1445,238.1649,23750,28230,Nyctalus leisleri,0.313,0.431,-1,Echolocation
27,240.2375,240.2501,25468,30681,Nyctalus leisleri,0.507,0.621,-1,Echolocation
28,240.3815,240.3963,24609,30785,Nyctalus leisleri,0.326,0.552,-1,Echolocation
