Date and Time deployed (local),Date and Time recovered (local),AudioMoth #,SD card #,Site,Latitude,Longitude,Altitude (m),Duration (HH:MM),# of Files,GB used,Storage Space (GB),Sampling rate (Hz),Gain,Filter,Amplitude threshold,Battery start (V),Battery end (V),Deployer,Upload folder name,Daily Recording Period,Activity Cycle,Activity per Day,Notes
2022-06-11T14:32:00,2022-06-14T15:12:00,C,010,Foliage,47° 39' 19.212'' N,122° 17' 25.962'' W,5.19,72:40,-,-,127.8,250000,Medium,None,None,-,-,AK,-,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,No files found. Either SD card error or config error.
2022-06-14T15:39:00 (2022-06-14T23:00Z),2022-06-16T12:19:00 (2022-06-16T19:30Z),C,010,Foliage,47° 39' 18.450'' N,122° 17' 27.048'' W,5.95,44:40 (44.5),91,79.6,127.8,250000,Medium,None,None,(4.3),(3.6),AK,recover-20220616_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Weather has been partly cloudy with occasional rain.
2022-06-16T12:34:00 (2022-06-16T20:00Z),2022-06-18T13:29:00 (2022-06-18T20:00Z),C,009,Foliage,47° 39' 18.642'' N,122° 17' 27.108'' W,4.71,48:55 (48),98,86.5,127.8,250000,Medium,None,None,(4.2),(3.6),AK,recover-20220618_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Lack of location reference pictures.
2022-06-18T13:46:00 (2022-06-18T21:00Z),2022-06-20T15:46:00 (2022-06-19T21:30Z),C,010,Foliage,47° 39' 18.420'' N,122° 17' 27.252'' W,5.59,50:00 (24.5),51,44.8,127.8,250000,Medium,None,None,(4.2),(3.9),AK,recover-20220620_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Cloudy w/ occasional light rain. Rising temperatures forecasted.
2022-06-20T16:15:00 (2022-06-20T23:30Z),2022-06-22T12:40:00 (2022-06-21T20:00Z),C,009,Foliage,47° 39' 18.420'' N,122° 17' 27.252'' W,4.88,44:25 (20.5),43,37.3,127.8,250000,Medium,None,None,(4.2),(4.0),AK,recover-20220622_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,SD card #2 and #4 needed to be formatted.
2022-06-22T12:57:00 (2022-06-22T20:30Z),2022-06-24T10:47:00 (2022-06-24T18:00Z),C,010,Foliage,47° 39' 18.708'' N,122° 17' 26.922'' W,5.71,45:50 (45.5),94,82.4,127.8,250000,Medium,None,None,(4.2),(3.9),AK,recover-20220624_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Temperatures rising.
2022-06-24T11:01:00,2022-06-27T14:31:00,C,009,Foliage,47° 39' 18.852'' N,122° 17' 26.532'' W,5.91,75:30,142,127.4,127.8,250000,Medium,None,None,(4.3),(3.5),AK,recover-20220627_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,SD card full at 10AM on date of retrieval. Heat advisory in effect.
2022-06-27T14:44:00,2022-06-30T11:44:00,C,010,Foliage,47° 39' 18.408'' N,122° 17' 26.448'' W,5.92,69:00,135,119,127.8,250000,Medium,None,None,(4.3),(3.8),AK,recover-20220630_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag
2022-06-30T12:46:00,2022-07-02T14:26:00,C,009,Foliage,47° 39' 18.750'' N,122° 17' 26.802'' W,8.04,49:40,102,92,127.8,250000,Medium,None,None,(4.2),(3.8),AK,recover-20220702_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag
2022-07-02T14:41:00,2022-07-05T11:41:00,C,010,Foliage,No Valid Info,No Valid Info,7.21,69:00,98,84.4,127.8,250000,Medium,None,None,(4.2),(3.8),AK,recover-20220705_unit2,0:00 - 24:00,Recording: 1795 secs; Sleep: 5 secs,Recording: 1436 min; Sleep: 4 min,Ziploc Bag
