start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file
39.3585,39.367000000000004,39218.0,51038.0,Echolocation,Pipistrellus nathusii,0.529,0.618,-1,../../Downloads/20220730_103000_1spad.WAV
39.570499999999996,39.5807,38359.0,51104.0,Echolocation,Pipistrellus nathusii,0.586,0.644,-1,../../Downloads/20220730_103000_1spad.WAV
39.667500000000004,39.681200000000004,24609.0,28236.0,Echolocation,Nyctalus leisleri,0.46,0.595,-1,../../Downloads/20220730_103000_1spad.WAV
39.673500000000004,39.6819,39218.0,54306.0,Echolocation,Pipistrellus nathusii,0.636,0.704,-1,../../Downloads/20220730_103000_1spad.WAV
39.7625,39.7701,39218.0,50839.0,Echolocation,Pipistrellus nathusii,0.615,0.693,-1,../../Downloads/20220730_103000_1spad.WAV
39.8685,39.8773,38359.0,47633.0,Echolocation,Pipistrellus nathusii,0.591,0.658,-1,../../Downloads/20220730_103000_1spad.WAV
39.966499999999996,39.9752,40078.0,51432.0,Echolocation,Pipistrellus nathusii,0.56,0.66,-1,../../Downloads/20220730_103000_1spad.WAV
40.0615,40.0703,39218.0,51607.0,Echolocation,Pipistrellus nathusii,0.578,0.682,-1,../../Downloads/20220730_103000_1spad.WAV
40.1605,40.1691,37500.0,46871.0,Echolocation,Pipistrellus nathusii,0.563,0.636,-1,../../Downloads/20220730_103000_1spad.WAV
40.2625,40.2708,39218.0,51798.0,Echolocation,Pipistrellus nathusii,0.656,0.707,-1,../../Downloads/20220730_103000_1spad.WAV
40.335499999999996,40.3439,40078.0,56247.0,Echolocation,Pipistrellus nathusii,0.625,0.708,-1,../../Downloads/20220730_103000_1spad.WAV
40.4425,40.4518,38359.0,50575.0,Echolocation,Pipistrellus nathusii,0.602,0.695,-1,../../Downloads/20220730_103000_1spad.WAV
40.5575,40.5649,40078.0,53359.0,Echolocation,Pipistrellus nathusii,0.672,0.723,-1,../../Downloads/20220730_103000_1spad.WAV
40.6925,40.7019,37500.0,44413.0,Echolocation,Pipistrellus nathusii,0.478,0.507,-1,../../Downloads/20220730_103000_1spad.WAV
40.835499999999996,40.8442,39218.0,52061.0,Echolocation,Pipistrellus nathusii,0.615,0.644,-1,../../Downloads/20220730_103000_1spad.WAV
41.1015,41.1112,40078.0,50704.0,Echolocation,Pipistrellus nathusii,0.49,0.539,-1,../../Downloads/20220730_103000_1spad.WAV
42.5305,42.541,37500.0,49071.0,Echolocation,Pipistrellus nathusii,0.446,0.531,-1,../../Downloads/20220730_103000_1spad.WAV
44.8765,44.8928,24609.0,27332.0,Echolocation,Nyctalus leisleri,0.504,0.62,-1,../../Downloads/20220730_103000_1spad.WAV
45.6845,45.7004,24609.0,27959.0,Echolocation,Nyctalus leisleri,0.533,0.634,-1,../../Downloads/20220730_103000_1spad.WAV
46.069500000000005,46.0787,36640.0,42262.0,Echolocation,Pipistrellus nathusii,0.425,0.603,-1,../../Downloads/20220730_103000_1spad.WAV
46.825500000000005,46.835499999999996,35781.0,43747.0,Echolocation,Pipistrellus nathusii,0.407,0.535,-1,../../Downloads/20220730_103000_1spad.WAV
48.0925,48.110299999999995,23750.0,30899.0,Echolocation,Eptesicus serotinus,0.245,0.506,-1,../../Downloads/20220730_103000_1spad.WAV
48.2415,48.2504,34062.0,41051.0,Echolocation,Pipistrellus nathusii,0.279,0.615,-1,../../Downloads/20220730_103000_1spad.WAV
48.2965,48.3144,24609.0,30649.0,Echolocation,Nyctalus leisleri,0.243,0.506,-1,../../Downloads/20220730_103000_1spad.WAV
48.5465,48.5599,25468.0,33322.0,Echolocation,Eptesicus serotinus,0.261,0.567,-1,../../Downloads/20220730_103000_1spad.WAV
48.658500000000004,48.6687,35781.0,41779.0,Echolocation,Pipistrellus nathusii,0.248,0.57,-1,../../Downloads/20220730_103000_1spad.WAV
184.5705,184.5794,35781.0,44538.0,Echolocation,Pipistrellus nathusii,0.425,0.514,-1,../../Downloads/20220730_103000_1spad.WAV
184.7715,184.7805,35781.0,42026.0,Echolocation,Pipistrellus nathusii,0.416,0.512,-1,../../Downloads/20220730_103000_1spad.WAV
185.4605,185.4701,39218.0,45215.0,Echolocation,Pipistrellus nathusii,0.487,0.51,-1,../../Downloads/20220730_103000_1spad.WAV
186.1425,186.15109999999999,36640.0,46927.0,Echolocation,Pipistrellus nathusii,0.453,0.557,-1,../../Downloads/20220730_103000_1spad.WAV
253.2225,253.2347,35781.0,52588.0,Echolocation,Pipistrellus nathusii,0.452,0.546,-1,../../Downloads/20220730_103000_1spad.WAV
253.3295,253.3418,34921.0,44741.0,Echolocation,Pipistrellus nathusii,0.413,0.515,-1,../../Downloads/20220730_103000_1spad.WAV
253.8345,253.8475,34921.0,52110.0,Echolocation,Pipistrellus nathusii,0.345,0.518,-1,../../Downloads/20220730_103000_1spad.WAV
253.9415,253.953,35781.0,44254.0,Echolocation,Pipistrellus nathusii,0.432,0.501,-1,../../Downloads/20220730_103000_1spad.WAV
254.1355,254.1479,34921.0,51946.0,Echolocation,Pipistrellus nathusii,0.386,0.589,-1,../../Downloads/20220730_103000_1spad.WAV
254.4345,254.4488,34921.0,51235.0,Echolocation,Pipistrellus nathusii,0.278,0.511,-1,../../Downloads/20220730_103000_1spad.WAV
255.1405,255.153,35781.0,50995.0,Echolocation,Pipistrellus nathusii,0.459,0.575,-1,../../Downloads/20220730_103000_1spad.WAV
255.2345,255.2457,35781.0,48924.0,Echolocation,Pipistrellus nathusii,0.501,0.559,-1,../../Downloads/20220730_103000_1spad.WAV
255.4355,255.446,36640.0,52575.0,Echolocation,Pipistrellus nathusii,0.437,0.52,-1,../../Downloads/20220730_103000_1spad.WAV
259.2135,259.2227,37500.0,43648.0,Echolocation,Pipistrellus nathusii,0.485,0.553,-1,../../Downloads/20220730_103000_1spad.WAV
259.4045,259.4126,38359.0,44015.0,Echolocation,Pipistrellus nathusii,0.579,0.595,-1,../../Downloads/20220730_103000_1spad.WAV
260.3575,260.365,40937.0,49999.0,Echolocation,Pipistrellus nathusii,0.589,0.628,-1,../../Downloads/20220730_103000_1spad.WAV
260.4415,260.4496,39218.0,47498.0,Echolocation,Pipistrellus nathusii,0.502,0.519,-1,../../Downloads/20220730_103000_1spad.WAV
260.5465,260.5547,39218.0,50021.0,Echolocation,Pipistrellus nathusii,0.538,0.586,-1,../../Downloads/20220730_103000_1spad.WAV
260.6445,260.6528,38359.0,49934.0,Echolocation,Pipistrellus nathusii,0.556,0.631,-1,../../Downloads/20220730_103000_1spad.WAV
260.7435,260.7548,36640.0,50834.0,Echolocation,Pipistrellus nathusii,0.388,0.522,-1,../../Downloads/20220730_103000_1spad.WAV
260.8375,260.8479,36640.0,53795.0,Echolocation,Pipistrellus nathusii,0.523,0.632,-1,../../Downloads/20220730_103000_1spad.WAV
260.9375,260.9465,38359.0,48197.0,Echolocation,Pipistrellus nathusii,0.452,0.574,-1,../../Downloads/20220730_103000_1spad.WAV
261.0285,261.0373,39218.0,49933.0,Echolocation,Pipistrellus nathusii,0.55,0.653,-1,../../Downloads/20220730_103000_1spad.WAV
261.1275,261.135,38359.0,49047.0,Echolocation,Pipistrellus nathusii,0.467,0.532,-1,../../Downloads/20220730_103000_1spad.WAV
261.2265,261.2346,39218.0,52778.0,Echolocation,Pipistrellus nathusii,0.595,0.678,-1,../../Downloads/20220730_103000_1spad.WAV
261.3335,261.3423,39218.0,50090.0,Echolocation,Pipistrellus nathusii,0.535,0.649,-1,../../Downloads/20220730_103000_1spad.WAV
261.4395,261.44780000000003,38359.0,51711.0,Echolocation,Pipistrellus nathusii,0.688,0.737,-1,../../Downloads/20220730_103000_1spad.WAV
261.7575,261.7686,39218.0,48002.0,Echolocation,Pipistrellus nathusii,0.463,0.516,-1,../../Downloads/20220730_103000_1spad.WAV
263.4785,263.4896,36640.0,52898.0,Echolocation,Pipistrellus nathusii,0.53,0.641,-1,../../Downloads/20220730_103000_1spad.WAV
263.5825,263.5934,37500.0,53251.0,Echolocation,Pipistrellus nathusii,0.391,0.587,-1,../../Downloads/20220730_103000_1spad.WAV
263.7995,263.80989999999997,38359.0,50973.0,Echolocation,Pipistrellus nathusii,0.554,0.613,-1,../../Downloads/20220730_103000_1spad.WAV
