,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event
0,858.0225,858.0405,23750,27567,Nyctalus leisleri,0.391,0.474,-1,Echolocation
1,859.2105,859.2256,23750,28152,Nyctalus leisleri,0.542,0.636,-1,Echolocation
2,861.8675,861.8828,22890,27242,Nyctalus leisleri,0.411,0.553,-1,Echolocation
3,1066.7166,1066.7314,22031,25857,Nyctalus leisleri,0.327,0.503,-1,Echolocation
4,1067.0045,1067.0236,22031,26356,Nyctalus leisleri,0.403,0.507,-1,Echolocation
5,1068.4515,1068.4644,23750,28895,Nyctalus leisleri,0.397,0.59,-1,Echolocation
6,1069.3564,1069.3722,22031,26131,Nyctalus leisleri,0.298,0.468,-1,Echolocation
7,1082.2946,1082.3087,23750,28181,Nyctalus leisleri,0.424,0.553,-1,Echolocation
8,1085.3395,1085.3468,39218,45281,Pipistrellus nathusii,0.397,0.467,-1,Echolocation
9,1085.4375,1085.4443,40937,49376,Pipistrellus nathusii,0.414,0.489,-1,Echolocation
10,1088.7515,1088.7656,22890,29134,Nyctalus leisleri,0.208,0.526,-1,Echolocation
11,1089.3525,1089.3687,22031,27048,Nyctalus leisleri,0.481,0.594,-1,Echolocation
12,1099.9604,1099.9744,23750,28938,Nyctalus leisleri,0.439,0.606,-1,Echolocation
13,1100.2455,1100.2605,22890,28309,Nyctalus leisleri,0.334,0.531,-1,Echolocation
14,1138.3165,1138.33,23750,28884,Nyctalus leisleri,0.334,0.52,-1,Echolocation
15,1339.4585,1339.4717,23750,28569,Nyctalus leisleri,0.262,0.476,-1,Echolocation
16,1339.9926,1340.0071,23750,27585,Nyctalus leisleri,0.356,0.469,-1,Echolocation
17,1345.7695,1345.7809,23750,29231,Nyctalus leisleri,0.331,0.528,-1,Echolocation
18,1346.9775,1346.9889,25468,31206,Nyctalus leisleri,0.24,0.486,-1,Echolocation
19,1361.0605,1361.0745,22890,28385,Nyctalus leisleri,0.409,0.605,-1,Echolocation
20,1363.3695,1363.3835,22031,27080,Nyctalus leisleri,0.404,0.561,-1,Echolocation
21,1364.1685,1364.1825,22890,28198,Nyctalus leisleri,0.463,0.641,-1,Echolocation
22,1430.4355,1430.4546,23750,27963,Nyctalus leisleri,0.409,0.473,-1,Echolocation
23,1573.5305,1573.5488,22031,27665,Nyctalus noctula,0.236,0.461,-1,Echolocation
24,1575.6605,1575.6754,22890,27926,Nyctalus leisleri,0.282,0.467,-1,Echolocation
25,1643.7745,1643.7939,22890,26676,Nyctalus leisleri,0.46,0.511,-1,Echolocation
26,1645.4615,1645.4811,22890,26039,Nyctalus leisleri,0.582,0.626,-1,Echolocation
27,1645.8445,1645.8638,22890,25821,Nyctalus leisleri,0.539,0.578,-1,Echolocation
28,1646.3545,1646.3734,22890,26353,Nyctalus leisleri,0.585,0.64,-1,Echolocation
29,1646.7435,1646.7615,22890,25769,Nyctalus leisleri,0.671,0.697,-1,Echolocation
30,1647.1335,1647.1533,22890,26001,Nyctalus leisleri,0.634,0.666,-1,Echolocation
31,1647.5245,1647.5441,22890,26530,Nyctalus leisleri,0.523,0.57,-1,Echolocation
32,1648.0505,1648.0706,22890,26512,Nyctalus leisleri,0.478,0.518,-1,Echolocation
