KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,43200.0,0.6770281084079556,167.6355,167.6478,42656.0,47588.0,Echolocation,Pipistrellus nathusii,0.169,0.309,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_213000.WAV,recover-20250613,UBNA_002,Telephone Field
LF,23040.0,9.583089811828081,251.4345,251.45420000000001,22890.0,26021.0,Echolocation,Nyctalus leisleri,0.42,0.453,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_213000.WAV,recover-20250613,UBNA_002,Telephone Field
LF,32640.0,-0.1750447239707419,276.9305,276.9359,22890.0,48638.0,Echolocation,Myotis nattereri,0.301,0.374,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_213000.WAV,recover-20250613,UBNA_002,Telephone Field
LF,32640.0,-1.4811461062710294,292.0015,292.0059,18593.0,50391.0,Echolocation,Myotis nattereri,0.35,0.418,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_213000.WAV,recover-20250613,UBNA_002,Telephone Field
LF,25920.0,6.822134738042147,296.1985,296.2119,25468.0,28797.0,Echolocation,Nyctalus leisleri,0.296,0.335,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_213000.WAV,recover-20250613,UBNA_002,Telephone Field
LF,32640.0,5.058477549218808,297.7015,297.715,32343.0,36369.0,Echolocation,Nyctalus leisleri,0.251,0.426,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_213000.WAV,recover-20250613,UBNA_002,Telephone Field
HF,42240.0,3.043805679884395,289.4365,289.4404,38359.0,52020.0,Echolocation,Myotis daubentonii,0.251,0.331,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_214000.WAV,recover-20250613,UBNA_002,Telephone Field
HF,41280.0,0.40001836094728704,297.4675,297.4713,38359.0,56923.0,Echolocation,Myotis daubentonii,0.305,0.468,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_214000.WAV,recover-20250613,UBNA_002,Telephone Field
LF,25920.0,15.200871206099935,73.5665,73.5808,24609.0,30532.0,Echolocation,Nyctalus leisleri,0.261,0.329,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_215000.WAV,recover-20250613,UBNA_002,Telephone Field
HF,63360.0,3.546043388957873,102.3295,102.337,63281.0,68357.0,Echolocation,Pipistrellus pygmaeus,0.368,0.371,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_215000.WAV,recover-20250613,UBNA_002,Telephone Field
HF,41280.0,7.398043538369842,138.6355,138.6393,38359.0,67422.0,Echolocation,Myotis mystacinus,0.173,0.313,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_215000.WAV,recover-20250613,UBNA_002,Telephone Field
HF,55680.0,2.3448840727419693,185.7635,185.7702,54687.0,58286.0,Echolocation,Pipistrellus pygmaeus,0.31,0.317,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_215000.WAV,recover-20250613,UBNA_002,Telephone Field
LF,26880.0,4.044792885028096,199.8015,199.8059,24609.0,46126.0,Echolocation,Myotis nattereri,0.194,0.325,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_215000.WAV,recover-20250613,UBNA_002,Telephone Field
LF,27840.0,6.8814687324005135,222.5435,222.5474,24609.0,46973.0,Echolocation,Myotis nattereri,0.218,0.363,-1,192000.0,/mnt/ubna_data_06/recover-20250613/UBNA_002/20250606_215000.WAV,recover-20250613,UBNA_002,Telephone Field
